line,category,post_id,text
321,body,raw-L00319,おまえは弱いから無理だべ？
322,blank,,
323,post_header,raw-L00323,748 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:44
324,anchor,raw-L00323,>>743
325,body,raw-L00323,だせえなおまえ
326,body,raw-L00323,俺は１００万以上あるぞ
327,blank,,
328,post_header,raw-L00328,756 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:45
329,body,raw-L00328,おまえらっていつもハッタリばっかりだよな
330,body,raw-L00328,不良の世界には生きられないべ？
331,blank,,
332,post_header,raw-L00332,762 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:46
333,anchor,raw-L00332,>>757
334,body,raw-L00332,本当は殺されるのが怖くなっただけだろ
335,body,raw-L00332,馬鹿
336,blank,,
337,post_header,raw-L00337,772 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:47
338,body,raw-L00337,俺は武器は使っても強いべ
339,body,raw-L00337,スーパーソード持ってるしよ
340,blank,,
341,post_header,raw-L00341,783 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:48
342,body,raw-L00341,ギガスラッシュって技に名前を付けた
343,body,raw-L00341,属性は雷だべ？
344,blank,,
345,post_header,raw-L00345,788 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:49
346,body,raw-L00345,ギガトンパンチも雷
347,blank,,
348,post_header,raw-L00348,806 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:51
349,body,raw-L00348,ドラクエの話かないのかよおまえらは
350,body,raw-L00348,オタクで引き篭もりだべ？
351,blank,,
352,post_header,raw-L00352,812 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:52
353,body,raw-L00352,無視とか言ってるけど俺に勝てなくて怖いだけだべ？
354,blank,,
355,post_header,raw-L00355,826 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:54
356,anchor,raw-L00355,>>817
357,body,raw-L00355,自称じゃねーっよ
358,body,raw-L00355,俺が不良じゃないっていうどういう証拠あんのかよ？
359,blank,,
360,post_header,raw-L00360,841 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 17:57
361,body,raw-L00360,みんなロト馬鹿にしてるけど
362,body,raw-L00360,本当に不良だったら怖いよな
363,body,raw-L00360,もし会ったら誰も文句言えないぞ
364,blank,,
365,post_header,raw-L00365,846 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:57
366,anchor,raw-L00365,>>841
367,body,raw-L00365,おまえは賢いな
368,body,raw-L00365,他の奴は馬鹿だべ
369,blank,,
370,post_header,raw-L00370,854 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:58
371,body,raw-L00370,自作自演とかって意味わっかんねえよ
372,body,raw-L00370,おまえら適当こくなよ
373,blank,,
374,post_header,raw-L00374,858 名前：８４１[] 投稿日：02/05/12(日) 17:59
375,body,raw-L00374,言っておくけど俺はロトじゃないぞ
376,body,raw-L00374,頭悪ぃな
377,blank,,
378,post_header,raw-L00378,861 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:59
379,anchor,raw-L00378,>>858
380,body,raw-L00378,こいつらは馬鹿だから相手にしない方がいいぞ
381,blank,,
382,post_header,raw-L00382,877 名前：８４１[] 投稿日：02/05/12(日) 18:01
